t,X,Y,Z,roll,pitch,yaw
-100.000000000,-0.187000000,1.038000000,0.307000000,3.141592654,-0.000000000,1.570796327
-99.900000000,-0.186663000,1.037600000,0.307300000,3.141590186,0.002221440,1.568574882
-99.800000000,-0.186326000,1.037200000,0.307600000,3.141582784,0.004442868,1.566353415
-99.700000000,-0.185989000,1.036800000,0.307900000,3.141570447,0.006664275,1.564131904
-99.600000000,-0.185652000,1.036400000,0.308200000,3.141553174,0.008885649,1.561910327
-99.500000000,-0.185315000,1.036000000,0.308500000,3.141530966,0.011106979,1.559688663
-99.400000000,-0.184978000,1.035600000,0.308800000,3.141503822,0.013328254,1.557466889
-99.300000000,-0.184641000,1.035200000,0.309100000,3.141471741,0.015549464,1.555244983
-99.200000000,-0.184304000,1.034800000,0.309400000,3.141434723,0.017770596,1.553022924
-99.100000000,-0.183967000,1.034400000,0.309700000,3.141392767,0.019991641,1.550800690
-99.000000000,-0.183630000,1.034000000,0.310000000,3.141345873,0.022212587,1.548578258
-98.900000000,-0.183293000,1.033600000,0.310300000,3.141294039,0.024433424,1.546355606
-98.800000000,-0.182956000,1.033200000,0.310600000,3.141237264,0.026654140,1.544132714
-98.700000000,-0.182619000,1.032800000,0.310900000,3.141175547,0.028874724,1.541909558
-98.600000000,-0.182282000,1.032400000,0.311200000,3.141108887,0.031095165,1.539686117
-98.500000000,-0.181945000,1.032000000,0.311500000,3.141037283,0.033315453,1.537462369
-98.400000000,-0.181608000,1.031600000,0.311800000,3.140960733,0.035535577,1.535238292
-98.300000000,-0.181271000,1.031200000,0.312100000,3.140879236,0.037755524,1.533013864
-98.200000000,-0.180934000,1.030800000,0.312400000,3.140792790,0.039975285,1.530789063
-98.100000000,-0.180597000,1.030400000,0.312700000,3.140701393,0.042194848,1.528563866
-98.000000000,-0.180260000,1.030000000,0.313000000,3.140605044,0.044414203,1.526338253
-97.900000000,-0.179923000,1.029600000,0.313300000,3.140503740,0.046633338,1.524112200
-97.800000000,-0.179586000,1.029200000,0.313600000,3.140397481,0.048852241,1.521885687
-97.700000000,-0.179249000,1.028800000,0.313900000,3.140286263,0.051070904,1.519658690
-97.600000000,-0.178912000,1.028400000,0.314200000,3.140170084,0.053289313,1.517431188
-97.500000000,-0.178575000,1.028000000,0.314500000,3.140048942,0.055507458,1.515203159
-97.400000000,-0.178238000,1.027600000,0.314800000,3.139922836,0.057725328,1.512974581
-97.300000000,-0.177901000,1.027200000,0.315100000,3.139791761,0.059942912,1.510745431
-97.200000000,-0.177564000,1.026800000,0.315400000,3.139655716,0.062160199,1.508515688
-97.100000000,-0.177227000,1.026400000,0.315700000,3.139514698,0.064377178,1.506285330
-97.000000000,-0.176890000,1.026000000,0.316000000,3.139368705,0.066593837,1.504054334
-96.900000000,-0.176553000,1.025600000,0.316300000,3.139217732,0.068810165,1.501822678
-96.800000000,-0.176216000,1.025200000,0.316600000,3.139061778,0.071026152,1.499590341
-96.700000000,-0.175879000,1.024800000,0.316900000,3.138900840,0.073241786,1.497357299
-96.600000000,-0.175542000,1.024400000,0.317200000,3.138734913,0.075457056,1.495123532
-96.500000000,-0.175205000,1.024000000,0.317500000,3.138563995,0.077671950,1.492889016
-96.400000000,-0.174868000,1.023600000,0.317800000,3.138388083,0.079886458,1.490653729
-96.300000000,-0.174531000,1.023200000,0.318100000,3.138207173,0.082100569,1.488417651
-96.200000000,-0.174194000,1.022800000,0.318400000,3.138021262,0.084314271,1.486180757
-96.100000000,-0.173857000,1.022400000,0.318700000,3.137830345,0.086527553,1.483943026
-96.000000000,-0.173520000,1.022000000,0.319000000,3.137634419,0.088740403,1.481704436
-95.900000000,-0.173183000,1.021600000,0.319300000,3.137433480,0.090952811,1.479464964
-95.800000000,-0.172846000,1.021200000,0.319600000,3.137227525,0.093164765,1.477224588
-95.700000000,-0.172509000,1.020800000,0.319900000,3.137016549,0.095376254,1.474983287
-95.600000000,-0.172172000,1.020400000,0.320200000,3.136800548,0.097587267,1.472741036
-95.500000000,-0.171835000,1.020000000,0.320500000,3.136579518,0.099797792,1.470497815
-95.400000000,-0.171498000,1.019600000,0.320800000,3.136353454,0.102007818,1.468253601
-95.300000000,-0.171161000,1.019200000,0.321100000,3.136122353,0.104217333,1.466008371
-95.200000000,-0.170824000,1.018800000,0.321400000,3.135886208,0.106426326,1.463762104
-95.100000000,-0.170487000,1.018400000,0.321700000,3.135645017,0.108634787,1.461514776
-95.000000000,-0.170150000,1.018000000,0.322000000,3.135398774,0.110842702,1.459266365
-94.900000000,-0.169813000,1.017600000,0.322300000,3.135147474,0.113050062,1.457016850
-94.800000000,-0.169476000,1.017200000,0.322600000,3.134891113,0.115256854,1.454766206
-94.700000000,-0.169139000,1.016800000,0.322900000,3.134629685,0.117463068,1.452514413
-94.600000000,-0.168802000,1.016400000,0.323200000,3.134363185,0.119668690,1.450261446
-94.500000000,-0.168465000,1.016000000,0.323500000,3.134091608,0.121873711,1.448007285
-94.400000000,-0.168128000,1.015600000,0.323800000,3.133814949,0.124078119,1.445751906
-94.300000000,-0.167791000,1.015200000,0.324100000,3.133533203,0.126281901,1.443495287
-94.200000000,-0.167454000,1.014800000,0.324400000,3.133246363,0.128485046,1.441237404
-94.100000000,-0.167117000,1.014400000,0.324700000,3.132954424,0.130687544,1.438978236
-94.000000000,-0.166780000,1.014000000,0.325000000,3.132657381,0.132889382,1.436717760
-93.900000000,-0.166443000,1.013600000,0.325300000,3.132355227,0.135090548,1.434455953
-93.800000000,-0.166106000,1.013200000,0.325600000,3.132047957,0.137291031,1.432192793
-93.700000000,-0.165769000,1.012800000,0.325900000,3.131735565,0.139490819,1.429928256
-93.600000000,-0.165432000,1.012400000,0.326200000,3.131418044,0.141689901,1.427662320
-93.500000000,-0.165095000,1.012000000,0.326500000,3.131095389,0.143888264,1.425394963
-93.400000000,-0.164758000,1.011600000,0.326800000,3.130767593,0.146085898,1.423126160
-93.300000000,-0.164421000,1.011200000,0.327100000,3.130434649,0.148282790,1.420855891
-93.200000000,-0.164084000,1.010800000,0.327400000,3.130096552,0.150478928,1.418584130
-93.100000000,-0.163747000,1.010400000,0.327700000,3.129753295,0.152674300,1.416310857
-93.000000000,-0.163410000,1.010000000,0.328000000,3.129404870,0.154868896,1.414036048
-92.900000000,-0.163073000,1.009600000,0.328300000,3.129051272,0.157062702,1.411759680
-92.800000000,-0.162736000,1.009200000,0.328600000,3.128692493,0.159255707,1.409481729
-92.700000000,-0.162399000,1.008800000,0.328900000,3.128328526,0.161447899,1.407202174
-92.600000000,-0.162062000,1.008400000,0.329200000,3.127959365,0.163639266,1.404920991
-92.500000000,-0.161725000,1.008000000,0.329500000,3.127585001,0.165829795,1.402638156
-92.400000000,-0.161388000,1.007600000,0.329800000,3.127205428,0.168019476,1.400353647
-92.300000000,-0.161051000,1.007200000,0.330100000,3.126820639,0.170208296,1.398067442
-92.200000000,-0.160714000,1.006800000,0.330400000,3.126430626,0.172396243,1.395779515
-92.100000000,-0.160377000,1.006400000,0.330700000,3.126035381,0.174583304,1.393489845
-92.000000000,-0.160040000,1.006000000,0.331000000,3.125634896,0.176769467,1.391198409
-91.900000000,-0.159703000,1.005600000,0.331300000,3.125229165,0.178954721,1.388905182
-91.800000000,-0.159366000,1.005200000,0.331600000,3.124818179,0.181139054,1.386610142
-91.700000000,-0.159029000,1.004800000,0.331900000,3.124401929,0.183322452,1.384313265
-91.600000000,-0.158692000,1.004400000,0.332200000,3.123980409,0.185504903,1.382014528
-91.500000000,-0.158355000,1.004000000,0.332500000,3.123553610,0.187686396,1.379713908
-91.400000000,-0.158018000,1.003600000,0.332800000,3.123121523,0.189866918,1.377411382
-91.300000000,-0.157681000,1.003200000,0.333100000,3.122684141,0.192046457,1.375106925
-91.200000000,-0.157344000,1.002800000,0.333400000,3.122241454,0.194225000,1.372800514
